;SPV_event_date;SPV_event_value;WON_event_date;WON_event_value
0;2013-05-23;-15,493768429439514;2017-01-24;-67,35847279032262
1;1996-05-18;-13,978165408061457;2006-12-27;-65,8788786666667
2;2012-06-07;-13,798247610873412;1992-12-30;-65,74923608333333
3;2002-05-06;-12,974461956134627;2013-01-18;-62,67544266666666
4;2002-07-08;-12,548277721294049;1991-01-30;-62,297533064516145
5;2016-05-26;-11,815419746195754;1993-02-15;-60,4469110483871
6;2020-07-11;-11,753677726214079;1992-02-01;-59,27224935483868
7;1995-06-18;-11,30178721660959;2006-02-06;-58,72714733870966
8;1994-05-23;-11,162147448960416;1996-12-13;-57,73536895967739
9;2006-05-28;-10,930444374537393;2001-01-21;-55,27003840053765
10;2010-05-14;-10,893841955435192;2001-12-15;-54,98913118279566
11;2005-07-28;-10,878362032716062;1997-01-31;-53,797237096774204
12;1993-07-31;-10,81868668723817;2008-02-18;-53,386025645161254
13;1997-03-21;-10,443617346459694;2007-12-22;-52,56538891666669
14;2011-07-31;-10,437087097252164;2004-01-28;-52,30030233602149
15;1998-06-13;-10,428209921107001;1994-02-26;-52,0277425
16;2019-03-17;-10,29596854417209;1997-01-26;-50,95598709408599
17;2012-05-12;-10,116031794409027;1993-01-04;-50,87930506250001
18;1993-04-09;-10,067175161038833;2019-03-02;-50,61194388148669
19;2014-05-12;-9,999756481168944;2019-01-26;-50,543287094086
20;1993-08-13;-9,921069753266446;2001-02-03;-50,40915024193546
21;2010-06-14;-9,87790913357152;1997-01-13;-50,33864358333333
22;1993-07-22;-9,842321237274717;2002-01-13;-50,12824358333333
23;2016-03-26;-9,742450300896284;2021-03-07;-50,07813581697056
24;2010-05-09;-9,674701870304979;1991-02-17;-49,90939040322581
25;2000-04-05;-9,646627096619172;2011-11-24;-49,8244254032258
26;2011-07-20;-9,629090710350695;2016-12-21;-49,027688916666655
27;2000-07-13;-9,391776866565781;2003-01-11;-48,58094891666663
28;1996-07-01;-9,336256618444105;2004-12-14;-48,46933118279568
29;1991-07-03;-9,169122778946944;2021-12-24;-48,28514341666664
30;1992-04-21;-9,141430647352134;1998-11-22;-48,207306532258045
31;2005-05-06;-9,010663672314625;2017-12-23;-48,18964783333334
32;1993-06-20;-9,00205118664503;1994-10-16;-48,139843064516114
33;1995-09-10;-8,98801265853305;1997-11-03;-47,59943419354838
34;2019-05-03;-8,974791038482714;2004-12-05;-47,439468467741946
35;1998-05-31;-8,974102439995894;1991-12-04;-47,202619112903186
36;1998-07-17;-8,97262704785166;2015-02-07;-46,506988306451625
37;2015-03-31;-8,952567264999098;2015-01-26;-46,473087094086026
38;2014-05-31;-8,951375629759895;1991-02-04;-46,44055387096772
39;2007-06-02;-8,929481606324735;1991-12-09;-46,38428637096775
40;1991-06-17;-8,92334032769571;2010-01-09;-46,314300333333335
41;2012-03-08;-8,891448626625959;2013-02-23;-46,298338629032244
42;2003-05-25;-8,87837576199886;2017-01-29;-46,23609838709678
43;2001-08-14;-8,855863752659117;2013-01-13;-45,75634358333334
44;2005-04-20;-8,845965851734029;2003-02-18;-45,511625645161274
45;2017-07-01;-8,839479010534687;2001-01-16;-45,24933358333331
46;1991-09-30;-8,822331292379051;1991-03-17;-45,15957274193549
47;1998-10-09;-8,821790028727737;2018-02-24;-44,89526290322581
48;2011-07-26;-8,810215095359068;2010-01-27;-44,874413080645155
49;1991-05-08;-8,79784651747248;1995-10-17;-44,46139580645161
50;1998-09-10;-8,797046407883052;2009-01-03;-44,40254906250003
51;2002-04-21;-8,786832341522363;1995-12-25;-44,23502891666667
52;2010-09-15;-8,758394368134578;2020-12-13;-44,21356895967743
53;2001-03-26;-8,651873658733733;2021-02-05;-44,194414032258074
54;2013-06-29;-8,609318084465595;2003-03-21;-44,049459274193566
55;2005-08-02;-8,580458089921022;2011-03-30;-44,03252056451612
56;2008-06-02;-8,551168089689831;2016-01-22;-43,94185915322582
57;1994-05-29;-8,546703397957213;2016-10-27;-43,869681451612884
58;1998-07-10;-8,533087021366406;2013-03-07;-43,67623581697052
59;1997-06-28;-8,407413565498043;2020-01-27;-43,58921308064514
60;2013-04-18;-8,357344239681828;2006-01-10;-43,328859
61;1992-03-28;-8,338108534892003;1994-03-03;-43,29462847826085
62;2018-05-02;-8,333989086849703;2009-12-16;-43,25149511021503
63;1999-07-07;-8,326586790300956;2004-02-19;-42,949391612903256
64;2000-03-19;-8,25362682158224;2002-12-01;-42,869431774193544
65;2002-05-01;-8,24657916414388;1995-12-14;-42,72906895967741
66;1999-08-15;-8,208942342560816;1993-11-05;-42,66203225806451
67;1997-05-12;-8,183092434790948;1998-02-02;-42,45020612903225
68;2009-03-07;-8,165671894815299;2003-03-04;-42,4024446879383
69;2007-02-28;-8,135232729962087;2020-11-12;-42,39933467741934
